شناسه,حوزه,اولویت,الزام,معیار پذیرش,شاهد لازم,وضعیت
PC-001,محصول,P0,هدف محصول در تمام تصمیم‌ها اولویت داشته باشد,تصمیم‌های اصلی به هدف «بهترین تجربه برای فارسی‌زبانان» و ADR متصل باشند,ADR + بازبینی محصول,NOT_STARTED
PC-002,محصول,P0,هیچ قابلیت موجود بدون مجوز حذف نشود,Inventory و Characterization test ثابت کند همه مسیرهای Baseline باقی مانده‌اند,Baseline diff + E2E,NOT_STARTED
PC-003,محصول,P0,هیچ CTA یا کنترل مرده وجود نداشته باشد,Crawl همه کنترل‌ها؛ صفر Handler خالی، Placeholder دائمی یا Fake success,Static scan + E2E,NOT_STARTED
PC-004,محصول,P0,تعریف ۱۰۰٪ بر اساس Gateها اعمال شود,COMPLETE فقط پس از همه معیارهای توقف و سه Clean run ثبت شود,Execution state + CI artifacts,NOT_STARTED
PC-005,محصول,P0,Routeهای قدیمی سازگار بمانند,هر Route تغییرکرده Redirect یا Compatibility test داشته باشد,Route contract test,NOT_STARTED
PC-006,محصول,P1,Featureها به صورت افزایشی منتشر شوند,قابلیت‌های پرریسک Feature Flag، Canary و Rollback داشته باشند,Flag registry + release report,NOT_STARTED
PC-007,محصول,P1,محدوده P0/P1/P2 شفاف باشد,هر Requirement Owner، وضعیت و Evidence داشته باشد,Matrix audit,NOT_STARTED
PC-008,محصول,P1,هیچ متن خارج از هویت محصول نمایش داده نشود,Scan متن‌های عمومی فقط واژگان برند و محصول را بیابد,Content scan,NOT_STARTED
PC-009,زبان و RTL,P0,ریشه رابط فارسی و RTL باشد,lang=fa و dir=rtl در همه Routeهای عمومی,DOM assertion,NOT_STARTED
PC-010,زبان و RTL,P0,تمام رشته‌ها از i18n بیایند,صفر متن Hard-coded عمومی در Componentها,i18n static scan,NOT_STARTED
PC-011,زبان و RTL,P0,انگلیسی خارج Whitelist صفر باشد,Scanner در DOM و Bundle هیچ رشته غیرمجاز نیابد,Language gate,NOT_STARTED
PC-012,زبان و RTL,P0,توکن‌های LTR ایزوله شوند,Symbol، قیمت، Formula و Code در Span جهت‌دار درست نمایش یابند,Visual + DOM test,NOT_STARTED
PC-013,زبان و RTL,P0,تقویم جلالی و میلادی پشتیبانی شود,تبدیل بدون تغییر Timestamp و آزمون مرزی سال/ماه/DST,Unit + E2E,NOT_STARTED
PC-014,زبان و RTL,P0,اعداد فارسی/لاتین قابل انتخاب باشند,تنظیم کاربر در همه نمایش‌ها جز کد/نماد اعمال و ذخیره شود,E2E + snapshot,NOT_STARTED
PC-015,زبان و RTL,P1,جست‌وجو Normalize فارسی داشته باشد,ی/ک عربی، نیم‌فاصله و Transliteration نتایج درست بدهند,Search golden suite,NOT_STARTED
PC-016,زبان و RTL,P1,واژه‌نامه فنی ثابت باشد,اصطلاح‌های مصوب در UI و راهنما یکسان باشند,Content lint,NOT_STARTED
PC-017,زبان و RTL,P1,پیام خطا راه‌حل‌محور باشد,هر خطای P0 شامل علت قابل‌فهم و اقدام بعدی باشد,UX review + E2E,NOT_STARTED
PC-018,زبان و RTL,P1,Typography فارسی بدون clipping باشد,تمام Viewportها و Zoom 200% بدون بریدگی و overlap,Visual matrix,NOT_STARTED
PC-019,Design System,P0,Tokenهای رنگ، فاصله، تایپوگرافی و لایه واحد باشند,صفر مقدار پراکنده خارج Allowlist در Production CSS,Token lint,NOT_STARTED
PC-020,Design System,P0,Theme تیره و روشن کامل باشند,تمام Componentها و چارت در دو Theme بدون Contrast defect,Visual + a11y,NOT_STARTED
PC-021,Design System,P1,Theme کنتراست بالا موجود باشد,مسیرهای P0 در High-contrast خوانا و قابل استفاده باشند,Manual a11y,NOT_STARTED
PC-022,Design System,P0,Componentهای پایه همه Stateها را داشته باشند,default/hover/focus/active/disabled/loading/error پوشش داده شود,Story/Component tests,NOT_STARTED
PC-023,Design System,P0,Icon set مستقل و منسجم باشد,Grid، Stroke، نام معنایی و Accessible name برای همه آیکون‌ها,Icon audit + snapshots,NOT_STARTED
