id,area,priority,requirement,acceptance_criteria,required_evidence,status,baseline_status,gate_result,owner_role,dependencies,spec_refs,increment,critical_path,test_ids,artifact_paths,commit,last_verified_at,notes
PC-001,محصول,P0,هدف محصول در تمام تصمیم‌ها اولویت داشته باشد,تصمیم‌های اصلی به هدف «بهترین تجربه برای فارسی‌زبانان» و ADR متصل باشند,ADR + بازبینی محصول,NOT_STARTED,BASELINING,NOT_ASSESSED,Delivery/Traceability Lead,internal governance chain,§1; §2.2; §35.3; §40,I0-GOV,critical,,,,,
PC-002,محصول,P0,هیچ قابلیت موجود بدون مجوز حذف نشود,Inventory و Characterization test ثابت کند همه مسیرهای Baseline باقی مانده‌اند,Baseline diff + E2E,IN_PROGRESS,BASELINED,PARTIAL,QA Baseline Lead + Architect,PC-001;PC-007;PC-159;PC-160,§1.2; §6.1–6.2; §8.2; §34/F0,I0-INVENTORY,critical,BASE-ROOT;QA-INV-003;QA-INT-002;QA-BE-003,docs/BASELINE_INVENTORY.md;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Inventory current فایل‌های tracked/untracked و چهار شکاف High reproducibility را ثبت کرد؛ sliceهای Browser و interaction پاس‌اند ولی حفظ همه قابلیت‌ها در تمام Route/Stateها هنوز اثبات نشده است
PC-003,محصول,P0,هیچ CTA یا کنترل مرده وجود نداشته باشد,Crawl همه کنترل‌ها؛ صفر Handler خالی، Placeholder دائمی یا Fake success,Static scan + E2E,IN_PROGRESS,BASELINED,PARTIAL,QA Baseline Lead + Architect,PC-001;PC-007;PC-159;PC-160,§1.2; §6.1–6.2; §8.2; §34/F0,I0-INVENTORY,critical,QA-INV-003;QA-PANEL-001;QA-JS-003;QA-INT-002;QA-REF-UI-001,artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z;artifacts/qa/panel-navigation/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T010846Z;artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T013052Z;artifacts/qa/interactions/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012351Z;artifacts/qa/referral-compliance/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012118Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Static inventory current unmatched navigation و resolution issue صفر دارد و Panel disabled commands و Watchlist و Referral controls در scope آزموده‌شده پاس‌اند؛ Crawl همه کنترل‌ها و fake-success audit کامل باز است
PC-004,محصول,P0,تعریف ۱۰۰٪ بر اساس Gateها اعمال شود,COMPLETE فقط پس از همه معیارهای توقف و سه Clean run ثبت شود,Execution state + CI artifacts,NOT_STARTED,BASELINING,NOT_ASSESSED,Release Manager,G8;PC-156;all P0/P1 VERIFIED,§2.2; §37; §38,I8-CLOSE,critical-final,,,,,
PC-005,محصول,P0,Routeهای قدیمی سازگار بمانند,هر Route تغییرکرده Redirect یا Compatibility test داشته باشد,Route contract test,IN_PROGRESS,BASELINED,PARTIAL,QA Baseline Lead + Architect,PC-001;PC-007;PC-159;PC-160,§1.2; §6.1–6.2; §8.2; §34/F0,I0-INVENTORY,critical,QA-PANEL-001;QA-BE-003,artifacts/qa/panel-navigation/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T010846Z;artifacts/qa/backend-build/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011720Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,Aliasهای Panel برابر /signals→/ai-signals و /visitors→/analytics و contract فعلی Backend پاس‌اند؛ registry جدید untracked و compatibility همه Routeهای قدیمی هنوز باز است
PC-006,محصول,P1,Featureها به صورت افزایشی منتشر شوند,قابلیت‌های پرریسک Feature Flag، Canary و Rollback داشته باشند,Flag registry + release report,NOT_STARTED,BASELINING,NOT_ASSESSED,Release/SRE Lead,G0;PC-158;PC-160,§6.2; §33.3; §34/F1,I1,critical-enabler,,,,,
PC-007,محصول,P1,محدوده P0/P1/P2 شفاف باشد,هر Requirement Owner، وضعیت و Evidence داشته باشد,Matrix audit,IN_PROGRESS,BASELINED,PARTIAL,Delivery/Traceability Lead,internal governance chain,§1; §2.2; §35.3; §40,I0-GOV,critical,QA-INV-003;TRACE-001,docs/03_REQUIREMENTS_MATRIX.csv;docs/REQUIREMENTS_STATUS.csv;docs/qa/EVIDENCE_INDEX.md;artifacts/qa/frontend-inventory/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T012524Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,هر ۱۶۲ الزام Owner role و status دارد و evidence index current شده است؛ approval مالک و Evidence کامل همه الزام‌ها هنوز باز است
PC-008,محصول,P1,هیچ متن خارج از هویت محصول نمایش داده نشود,Scan متن‌های عمومی فقط واژگان برند و محصول را بیابد,Content scan,NOT_STARTED,BASELINING,NOT_ASSESSED,Content/Localization Lead,PC-001;PC-009–011,§1.2; §9; §38.1,I1,P1-branch,,,,,
PC-009,زبان و RTL,P0,ریشه رابط فارسی و RTL باشد,lang=fa و dir=rtl در همه Routeهای عمومی,DOM assertion,IN_PROGRESS,BASELINED,PARTIAL,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,QA-BRW-003;QA-A11Y-005,docs/qa/ACCESSIBILITY_REPORT.md;artifacts/qa/baseline/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011904Z;artifacts/qa/a11y-matrix/080033ae56e3c793ba3a998276cac5daeb969d50/20260715T011941Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-15T01:43:23Z,fa/rtl روی root current و پنج state موبایل پاس شد؛ همه Routeهای عمومی پوشش ندارند
PC-010,زبان و RTL,P0,تمام رشته‌ها از i18n بیایند,صفر متن Hard-coded عمومی در Componentها,i18n static scan,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-011,زبان و RTL,P0,انگلیسی خارج Whitelist صفر باشد,Scanner در DOM و Bundle هیچ رشته غیرمجاز نیابد,Language gate,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-012,زبان و RTL,P0,توکن‌های LTR ایزوله شوند,Symbol، قیمت، Formula و Code در Span جهت‌دار درست نمایش یابند,Visual + DOM test,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-013,زبان و RTL,P0,تقویم جلالی و میلادی پشتیبانی شود,تبدیل بدون تغییر Timestamp و آزمون مرزی سال/ماه/DST,Unit + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Date/Time Platform Lead,PC-009–010;PC-051;PC-056,§3.2; §9.1; §23.1,I1→I2,P0,,,,,
PC-014,زبان و RTL,P0,اعداد فارسی/لاتین قابل انتخاب باشند,تنظیم کاربر در همه نمایش‌ها جز کد/نماد اعمال و ذخیره شود,E2E + snapshot,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-015,زبان و RTL,P1,جست‌وجو Normalize فارسی داشته باشد,ی/ک عربی، نیم‌فاصله و Transliteration نتایج درست بدهند,Search golden suite,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-016,زبان و RTL,P1,واژه‌نامه فنی ثابت باشد,اصطلاح‌های مصوب در UI و راهنما یکسان باشند,Content lint,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-017,زبان و RTL,P1,پیام خطا راه‌حل‌محور باشد,هر خطای P0 شامل علت قابل‌فهم و اقدام بعدی باشد,UX review + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Localization/Frontend Lead,G0;Design System foundation,§9.1–9.4,I1,P0/P1,,,,,
PC-018,زبان و RTL,P1,Typography فارسی بدون clipping باشد,تمام Viewportها و Zoom 200% بدون بریدگی و overlap,Visual matrix,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,PC-019;PC-020;PC-027;PC-153,§9; §10; §29,I1,P1,,,,,
PC-019,Design System,P0,Tokenهای رنگ، فاصله، تایپوگرافی و لایه واحد باشند,صفر مقدار پراکنده خارج Allowlist در Production CSS,Token lint,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-020,Design System,P0,Theme تیره و روشن کامل باشند,تمام Componentها و چارت در دو Theme بدون Contrast defect,Visual + a11y,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-021,Design System,P1,Theme کنتراست بالا موجود باشد,مسیرهای P0 در High-contrast خوانا و قابل استفاده باشند,Manual a11y,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility Lead,PC-019;PC-022;PC-146,§10; §29.1,I1,P0/P1,,,,,
PC-022,Design System,P0,Componentهای پایه همه Stateها را داشته باشند,default/hover/focus/active/disabled/loading/error پوشش داده شود,Story/Component tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-023,Design System,P0,Icon set مستقل و منسجم باشد,Grid، Stroke، نام معنایی و Accessible name برای همه آیکون‌ها,Icon audit + snapshots,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-024,Design System,P0,Asset شخص ثالث از منبع غیرمجاز وارد نشود,Asset registry برای همه لوگوها/فونت‌ها منبع و مجوز ثبت کند,Asset/license audit,NOT_STARTED,BASELINING,NOT_ASSESSED,Security/License Owner,GOV;INVENTORY,§1.2; §10.4; §32.4,I0-INVENTORY,critical,,,,,
PC-025,Design System,P0,Touch target حداقل ۴۴ پیکسل باشد,تمام کنترل‌های لمسی P0 حداقل Hit area را پاس کنند,Automated layout test,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility Lead,PC-019;PC-022;PC-146,§10; §29.1,I1,P0/P1,,,,,
PC-026,Design System,P1,Component catalog مستند باشد,هر Component API، State، نمونه RTL و دسترس‌پذیری داشته باشد,Catalog review,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-027,Design System,P1,Responsive behavior تعریف‌شده باشد,هیچ breakpoint تصادفی؛ رفتار در Viewport matrix تأیید شود,Visual matrix,NOT_STARTED,BASELINING,NOT_ASSESSED,Design System Lead,G0;PC-153,§10.1–10.5,I1,P0/P1,,,,,
PC-028,حرکت و تعامل,P0,بازخورد ورودی سریع باشد,Pointer/keyboard action در کمتر از ۱۰۰ms بازخورد بصری دهد,Performance trace,NOT_STARTED,BASELINING,NOT_ASSESSED,Frontend Performance Lead,PC-022;PC-138;PC-139,§11.1; §28,I1,P0,,,,,
PC-029,حرکت و تعامل,P0,Gestureهای چارت کامل باشند,Pan، Zoom، Pinch، long-press و scale drag طبق spec کار کنند,E2E gesture tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Interaction Lead,PC-022;PC-035;PC-039–040;PC-044;PC-047;DATA-CORE,§11.2; §12,I2,P0,,,,,
PC-030,حرکت و تعامل,P0,Undo/Redo پایدار باشد,حداقل ۵۰ Command متوالی بدون corruption قابل بازگشت/اعاده باشد,Property + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Interaction Lead,PC-022;PC-035;PC-039–040;PC-044;PC-047;DATA-CORE,§11.2; §12,I2,P0,,,,,
PC-031,حرکت و تعامل,P0,Keyboard shortcuts کامل باشند,تمام عملیات P0 مسیر Keyboard و Help قابل‌مشاهده داشته باشند,Keyboard matrix,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility/Frontend Lead,PC-022;PC-147,§11; §29.1,I1,P0,,,,,
PC-032,حرکت و تعامل,P1,Motion tokenها رعایت شوند,مدت و easing خارج Token صفر باشد,Motion lint + trace,IN_PROGRESS,BASELINED,PARTIAL,Motion Lead,PC-019;PC-022;PC-153;PC-155,§11.1–11.3; §31,I1,P1,MOT-007,docs/qa/MOTION_MATRIX.md;artifacts/qa/playwright,a41fb88,2026-07-16T12:30:00Z,"Onboarding dialog روی live image با 240ms و focus/inert/restore پاس شد؛ سایر Dialog/Sheetها و lint سراسری tokenها باز است"
PC-033,حرکت و تعامل,P1,Reduced motion پشتیبانی شود,انیمیشن غیرضروری حذف و کارکرد حفظ شود,E2E reduced-motion,IN_PROGRESS,BASELINED,PARTIAL,Motion Lead,PC-019;PC-022;PC-153;PC-155,§11.1–11.3; §31,I1,P1,MOT-008,docs/qa/MOTION_MATRIX.md;artifacts/qa/playwright,a41fb88,2026-07-16T12:30:00Z,"desktop/mobile ثابت کرد duration حداکثر 0.01ms و iteration حداکثر 1 و scroll=auto است؛ همه gestureها هنوز پوشش ندارند"
PC-034,حرکت و تعامل,P1,Motion regression ثبت شود,مسیرهای حیاتی Frame/Event trace و threshold داشته باشند,Motion artifacts,NOT_STARTED,BASELINING,NOT_ASSESSED,Motion Lead,PC-019;PC-022;PC-153;PC-155,§11.1–11.3; §31,I1,P1,,,,,
PC-035,موتور چارت,P0,چارت شمعی دقیق باشد,OHLC، wick، body، precision و session با Fixture مرجع منطبق باشد,Golden render + unit,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,PC-019–020;PC-022;PC-049–056,§12.2–12.3,I2-CHART,critical,,,,,
PC-036,موتور چارت,P0,انواع P0 چارت کامل باشند,۱۲ نوع P0 در data/state/view matrix پاس شوند,E2E + visual,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,Chart core;PC-153–155,§5.1; §12.2; §31.6,I2-CHART,critical-P0,,,,,
PC-037,موتور چارت,P1,انواع P1 غیرزمانی دقیق باشند,Renko/Kagi/P&F/Line Break/Range قرارداد و عدم look-ahead داشته باشند,Golden vectors,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart/Quant Lead,Chart core;DATA-CORE;PC-141,§12.2; §28.2,I2.5,P1-branch,,,,,
PC-038,موتور چارت,P1,Profile و Footprint پشتیبانی شود,محاسبات حجم و aggregation با Dataset مرجع پاس شوند,Unit + visual,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart/Quant Lead,Chart core;DATA-CORE;PC-141,§12.2; §28.2,I2.5,P1-branch,,,,,
PC-039,موتور چارت,P0,Scaleهای Linear/Log/Percent/Indexed کار کنند,تبدیل و inverse mapping در دامنه‌ها و extreme values دقیق باشد,Property tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,PC-019–020;PC-022;PC-049–056,§12.2–12.3,I2-CHART,critical,,,,,
PC-040,موتور چارت,P0,Pan/Zoom Anchor پایدار باشد,نقطه زیر Pointer پس از Zoom در tolerance تعریف‌شده بماند,Interaction test,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,PC-019–020;PC-022;PC-049–056,§12.2–12.3,I2-CHART,critical,,,,,
PC-041,موتور چارت,P0,Multi-pane و resize کامل باشد,Paneها اضافه/حذف/resize/save/restore بدون drift,E2E + serialization,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart/Workspace Lead,Chart core;PC-044,§12.4,I2,critical-P0,,,,,
PC-042,موتور چارت,P1,Multi-chart تا ۱۶ پنل کار کند,Layoutهای تعریف‌شده، sync انتخابی و محدودیت منابع پاس شوند,E2E + performance,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart/Workspace Lead,PC-041;PC-141;entitlement model,§12.4; §25.3,I3,P1,,,,,
PC-043,موتور چارت,P0,Crosshair داده درست نشان دهد,زمان، OHLCV و مقادیر indicator برای Bar منتخب دقیق باشد,Unit + E2E,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,PC-019–020;PC-022;PC-049–056,§12.2–12.3,I2-CHART,critical,,,,,
PC-044,موتور چارت,P0,Serialization نسخه‌دار باشد,Layout قدیمی migrate و round-trip بدون از دست رفتن State,Migration fixtures,NOT_STARTED,BASELINING,NOT_ASSESSED,State/Schema Architect,G0;versioned state contract;PC-158 baseline,§6.2; §12.1; §18.1,I2,critical,,,,,
PC-045,موتور چارت,P0,Export تصویر امن و دقیق باشد,PNG/WebP در Scaleهای هدف بدون PII و clipping,Export tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,Chart renderer;PC-020;PC-116;PC-153,§12.6; §27.5,I2,P0,,,,,
PC-046,موتور چارت,P1,Accessibility overlay چارت موجود باشد,OHLCV و عملیات اصلی از Keyboard/Screen reader قابل دسترس,Manual + automated a11y,NOT_STARTED,BASELINING,NOT_ASSESSED,Accessibility + Chart Lead,Chart core;PC-146–147;PC-152,§29.2,I2.5,P1,,,,,
PC-047,موتور چارت,P1,Object selection قابل پیش‌بینی باشد,Hit testing در Zoom/DPRهای مختلف مطابق tolerance,Geometry tests,NOT_STARTED,BASELINING,NOT_ASSESSED,Chart Engine Lead,PC-019–020;PC-022;PC-049–056,§12.2–12.3,I2-CHART,critical,,,,,
PC-048,موتور چارت,P1,LOD و downsampling کیفیت را حفظ کند,داده بزرگ روان و extremeها حفظ شوند,Benchmark + visual,NOT_STARTED,BASELINED,PARTIAL,Chart/Quant Lead,Chart core;DATA-CORE;PC-141,§12.2; §28.2,I2.5,P1-branch,QA-JS-001,artifacts/qa/javascript/080033ae56e3c793ba3a998276cac5daeb969d50/20260714T233200Z,080033ae56e3c793ba3a998276cac5daeb969d50,2026-07-14T23:35:00Z,Resample/chart-builder assertions پاس؛ benchmark داده بزرگ و Visual LOD مانده است
